dude_obj|Returns a pointer to the dude object (the player).
self_obj|Returns a pointer to the object connected to this script.
target_obj|Returns a pointer to the target object for this action.  The target object is what is being acted upon.
source_obj|Returns a pointer to the source object (activator) for this action.  The source object for a pickup_proc (pickup an object script_action) would be the critter picking the object up, for instance.
obj_pid|Returns the prototype id # (pid) of an object (obj).
add_mult_objs_to_inven|Adds (count) instances of an object (item) to another object’s (who’s) inventory.  Note that this only works with objects of type Item.
add_obj_to_inven|Adds an object (item) to another object’s inventory.  Note that this only works with objects of type Item.
rm_obj_from_inven|Removes an object (obj) from another object’s (who’s) inventory.  Note: this leaves the removed object in at location (0,1) on the map!  You must call move_to(…) to place it back on the map
rm_mult_objs_from_inven|Removes (count) instances of an object (obj) from another object’s (who’s) inventory.  Note: this leaves the removed object in at location (0,1) on the map!  You must call move_to(…) to place it back on the map. NOTE: This function returns the actual count that was removed (if you attempted to remove more instances than existed).  You *MUST* store this value in a variable (though you don’t have to actually do anything with it).
item_caps_adjust|Modifies the current caps count in an object (obj) by a given amount (amount).
item_caps_total|Returns the current caps total in a given object’s (obj) inventory.
obj_is_carrying_obj_pid|Returns the quantity of objects with matching prototype index #’s (pid) carried in the inventory of another object (obj).
obj_carrying_pid_obj|Returns an Object pointer to an instance of an object of type pid if an object (who) is carrying an object of that type.
call|Call statement is used to run other procedure(from another).
Reply|Sets up a reply block (what the *CRITTER* says).
float_msg|Attempts to create a floating-text message (str) attached to an object (who) using colors dictated by type.  There are two special types, WARNING and SEQUENTIAL.  WARNING is used to print a message centered on the screen (such as for end-of-quest notifications), and SEQUENTIAL will cycle through the colors, in an attempt to give critters different-colored messages to differentiate them.
mstr|Returns text from *.msg file.
display_msg|Displays a string on the in-game PDA display (lower-left hand corner).
display_mstr|Displays a string on the in-game PDA display (makro to display_msg)
start_gdialog|Starts a new dialog sequence.
debug_msg|Prints a string to the debug monitor.  Should be used exclusively for debug information, instead of display_msg()!
give_exp_points|Adds experience points (points) to the player’s total.  These points may then be used by the player to enhance skills, etc.
set_local_var|Sets the value of a local variable (var_index) to a given (value).
local_var|Returns the value of a local variable of given index # (var_index).
set_map_var|Sets the value of a map-global variable (var_index) to a given (value).
map_var|Returns the value of a map variable of given index # (var_index).
set_global_var|Sets the value of a global variable (var_index) to a given (value).
global_var|Returns the value of a global variable of given index # (var_index).
obj_can_see_obj|Returns True if the source object has line-of-sight (LOS) with the destination object.  This also takes into account perception & stealth rolls of the objects are critters.
obj_can_hear_obj|Returns True if the source object is capable of hearing the destination object.  This includes distance factors, current activity (standing/walking/running), and skill use (stealth/etc.).
set_obj_visibility|Sets the OBJ_OFF flag for an object (makes it not drawn 0 - visible 1 - not visible).
game_time|Returns the current game time in ticks.
get_day|Returns the current day of the month.
game_time_advance|Advances the current game time by ticks.
game_time_hour|Returns the current hour of the day in a normal format, but without the colon.  For example, the current starting game time is 721 (which is 7:21 am).
script_overrides|Tells the C-engine that the script will override default behavior for the object.  What this means is that the C-engine will not attempt to do things that it would normally do, in expectation that the script will handle those things itself.  This is an IMPORTANT command!  It is commonly used for the general player actions upon objects, such as looking at them (requesting a description), using them (opening doors, for example), or using items ON them (using a picklock or a key on a door lock).
Attack|Causes the focused object to attempt to attack an object.  Note that this is a macro to attack_complex().
attack_complex|Causes the current object (self - must be a critter) to attempt to attack a critter (who) with various parameters modifying the combat:<li><b>called_shot</b> - 0/1/specific means none/random/specific (head, torso, etc.) <li><b>num_attacks</b> - the # of extra attacks the self object gets before the target  <li><b>bonus</b> - the bonus to hit the target on the first turn only  <li><b>min_damage</b> - the minimum damage that will be done the first attack   <li><b>max_damage</b> - the maximum damage that will be done the first attack<li><b>attacker_results</b> - what state the attacker ends in after the first attack<li><b>target_results</b> - what state the target ends in after the first attack
attack_setup|Sets up an attack from who on victim, without expecting this script to be involved.  Can be used to setup attacks on critters from the map script.
combat_is_initialized|Returns True if the system is currently in combat mode, False otherwise.
terminate_combat|Tells the combat system to terminate prematurely.  USE WITH CAUTION.  This doesn’t prevent another (or even the SAME) script from re-starting combat, so make sure you turn off any hostile flags, etc.
critter_injure|Injures a given critter by crippling given limbs/body parts (defined by DAM_CRIP_ARM_LEFT, DAM_BLIND, etc. in define.h)
critter_dmg|Injures a given critter with given points of damage.
add_timer_event|Adds a timed event call to the queue, at a given time offset, to call an object’s script.  Info is used to let scripts differentiate between timed event calls so that they can be hooked in multiple times.  Info is read back by the script using the fixed_param operator.  Note that time is in ticks (you can use game_ticks(seconds_num) to get the time in ticks from time in seconds).
anim|Sets up a single-frame animation (anim) for the object (who) that runs in the given direction.
anim_busy|Returns True if object is currently animating, otherwise False.  This can be used to determine if a given object has completed an animation.
anim_action_frame|Returns the action frame of the given art frame on a given object (who).  This can be used as the delay in an animation registration sequence.
animate_stand_reverse|Sets up an animation for the currently focused object (self) to run it’s stand animation in reverse.  This is used only for non-critters, to cause them to close (close doors, open containers, etc.)
